symbol,line,date,sampleID,scene,shape,size,stack,gfp,brDisc,brDisc_gfp,brDisc_gfpNEG,KDtoWT
mor,34919,210422,mor_34919_210422,Series008,1.3.10.1024.1024,1024x1024,10,28.050867080688477,24.967886924743652,12.428865432739258,10.122151374816895,1.2278877258900993
mor,34919,210422,mor_34919_210422,Series009,1.3.10.1024.1024,1024x1024,10,28.9279727935791,24.352802276611328,11.323819160461426,9.892457962036133,1.14469216891478
mor,34919,210422,mor_34919_210422,Series010,1.3.10.1024.1024,1024x1024,10,28.35533905029297,24.8689022064209,13.5283784866333,8.888544082641602,1.5220016192587502
mor,34919,210422,mor_34919_210422,Series011,1.3.10.1024.1024,1024x1024,10,29.54455280303955,25.432172775268555,12.746655464172363,10.210382461547852,1.248401371072639
mor,34919,210422,mor_34919_210422,Series012,1.3.10.1024.1024,1024x1024,10,22.240513801574707,25.08319854736328,10.956099510192871,10.772787094116211,1.0170162479287073
Ino80,33708,210128,Ino80_33708_210128,Series002,1.3.1.1024.1024,1024x1024,1,25.20412254333496,22.90675926208496,9.370251655578613,11.524794578552246,0.8130515118262275
Ino80,33708,210128,Ino80_33708_210128,Series003,1.3.1.1024.1024,1024x1024,1,28.820192337036133,21.333149909973145,8.932787895202637,10.26261043548584,0.8704206353107811
Ino80,33708,210128,Ino80_33708_210128,Series004,1.3.1.1024.1024,1024x1024,1,39.40544414520264,22.232605934143066,9.715944290161133,9.979792594909668,0.9735617446716163
Chrac-16,63658,210128,Chrac-16_63658_210128,Series001,1.3.1.1024.1024,1024x1024,1,32.12214374542236,26.74952983856201,9.113539695739746,9.197144508361816,0.9909096989238281
Chrac-16,63658,210128,Chrac-16_63658_210128,Series002,1.3.1.1024.1024,1024x1024,1,25.630796432495117,24.04768180847168,8.463193893432617,12.756885528564453,0.6634216380230379
Chrac-16,63658,210128,Chrac-16_63658_210128,Series003,1.3.1.1024.1024,1024x1024,1,14.455353736877441,13.872037887573242,4.083565711975098,3.4506654739379883,1.1834139654560103
pont,50972,210128,pont_50972_210128,Series001,1.3.20.1024.1024,1024x1024,20,52.844369888305664,45.962042808532715,14.756179809570312,24.848591804504395,0.5938437045311923
pont,50972,210128,pont_50972_210128,Series002,1.3.20.1024.1024,1024x1024,20,47.39988994598389,33.22294044494629,14.190252304077148,12.567035675048828,1.1291646392196633
pont,50972,210128,pont_50972_210128,Series003,1.3.20.1024.1024,1024x1024,20,47.69161319732666,46.91942119598389,15.77344036102295,23.76896572113037,0.6636149231769273
polybromo,32840,210128,polybromo_32840_210128,Series001,1.3.1.1024.1024,1024x1024,1,26.12349796295166,25.18544101715088,7.673755645751953,7.159411430358887,1.0718416898366858
polybromo,32840,210128,polybromo_32840_210128,Series002,1.3.1.1024.1024,1024x1024,1,14.04944133758545,14.396401405334473,3.659513473510742,4.693361282348633,0.779721238864327
polybromo,32840,210128,polybromo_32840_210128,Series003,1.3.1.1024.1024,1024x1024,1,14.186209678649902,20.36637020111084,6.843258857727051,7.289555549621582,0.9387758706471893
polybromo,32840,210128,polybromo_32840_210128,Series005,1.3.1.1024.1024,1024x1024,1,18.15091609954834,24.64088535308838,1.5676794052124023,7.828825950622559,0.20024450857637707
dom,55917,210331,dom_55917_210331,Series001,1.3.10.1024.1024,1024x1024,10,20.616044998168945,24.683135986328125,11.885220527648926,10.746804237365723,1.1059306808925602
dom,55917,210331,dom_55917_210331,Series002,1.3.10.1024.1024,1024x1024,10,15.9571533203125,15.192523956298828,6.67202091217041,6.244776725769043,1.0684162469153373
dom,55917,210331,dom_55917_210331,Series003,1.3.10.1024.1024,1024x1024,10,18.990424156188965,22.566818237304688,10.526894569396973,10.104811668395996,1.0417704866604383
dom,55917,210331,dom_55917_210331,Series004,1.3.10.1024.1024,1024x1024,10,21.132686614990234,25.267374992370605,13.140512466430664,9.996139526367188,1.3145587285741107
dom,55917,210331,dom_55917_210331,Series005,1.3.10.1024.1024,1024x1024,10,24.692326545715332,28.84262752532959,16.029674530029297,10.880040168762207,1.4733102342813271
dom,55917,210331,dom_55917_210331,Series006,1.3.10.1024.1024,1024x1024,10,11.037264823913574,25.454764366149902,11.219339370727539,11.314502716064453,0.9915892595790533
su(var)3-3,32853,210331,su(var)3-3_32853_210331,Series001,1.3.10.1024.1024,1024x1024,10,13.761306762695312,27.470890998840332,11.818737983703613,11.700708389282227,1.0100873887712218
su(var)3-3,32853,210331,su(var)3-3_32853_210331,Series002,1.3.10.1024.1024,1024x1024,10,14.159892082214355,12.108718872070312,5.467243194580078,5.2803802490234375,1.0353881608414848
su(var)3-3,32853,210331,su(var)3-3_32853_210331,Series003,1.3.20.1024.1024,1024x1024,20,14.95691967010498,21.37309741973877,9.577153205871582,9.111776351928711,1.0510742182389456
su(var)3-3,32853,210331,su(var)3-3_32853_210331,Series004,1.3.10.1024.1024,1024x1024,10,15.991588592529297,19.020652770996094,8.81875228881836,8.324284553527832,1.059400628619906
su(var)3-3,32853,210331,su(var)3-3_32853_210331,Series005,1.3.10.1024.1024,1024x1024,10,12.598302841186523,13.98616886138916,5.462793350219727,6.734192848205566,0.811202392529548
su(var)3-3,32853,210331,su(var)3-3_32853_210331,Series006,1.3.10.1024.1024,1024x1024,10,13.787330627441406,15.443723678588867,7.269665718078613,5.674553871154785,1.28109907547661
su(var)3-3,32853,210331,su(var)3-3_32853_210331,Series007,1.3.10.1024.1024,1024x1024,10,14.461895942687988,14.401206016540527,6.0882110595703125,6.473909378051758,0.9404226571676979
dom,40914,210331,dom_40914_210331,Series001,1.3.10.1024.1024,1024x1024,10,30.258556365966797,43.80395221710205,22.517399787902832,18.648011207580566,1.2074960454093533
dom,40914,210331,dom_40914_210331,Series002,1.3.10.1024.1024,1024x1024,10,28.8350248336792,30.42583465576172,15.480177879333496,12.82755184173584,1.2067912934849383
dom,40914,210331,dom_40914_210331,Series003,1.3.10.1024.1024,1024x1024,10,23.88901138305664,22.014233589172363,10.993884086608887,8.837632179260254,1.2439852512088956
dom,40914,210331,dom_40914_210331,Series004,1.3.20.1024.1024,1024x1024,20,25.492677688598633,24.639699935913086,11.491122245788574,10.069942474365234,1.1411308728963643
dom,40914,210331,dom_40914_210331,Series005,1.3.10.1024.1024,1024x1024,10,35.448723793029785,28.654560089111328,17.85171890258789,9.10312271118164,1.961054406161095
dom,38941,210331,dom_38941_210331,Series001,1.3.10.1024.1024,1024x1024,10,19.487236976623535,24.01640224456787,11.678601264953613,10.092061042785645,1.1572067603873755
dom,38941,210331,dom_38941_210331,Series002,1.3.20.1024.1024,1024x1024,20,20.892108917236328,28.443721771240234,13.649044036865234,12.06970500946045,1.13085150185252
dom,38941,210331,dom_38941_210331,Series003,1.3.20.1024.1024,1024x1024,20,32.25387096405029,39.03147888183594,14.22277545928955,5.535595893859863,2.5693305168944125
dom,34827,210331,dom_34827_210331,Series001,1.3.10.1024.1024,1024x1024,10,28.45591926574707,28.614449501037598,14.589422225952148,9.765886306762695,1.4939168619902163
dom,34827,210331,dom_34827_210331,Series002,1.3.10.1024.1024,1024x1024,10,41.572967529296875,26.7763614654541,18.1299409866333,6.885392189025879,2.633102151469205
dom,34827,210331,dom_34827_210331,Series003,1.3.10.1024.1024,1024x1024,10,40.50743579864502,19.04138946533203,12.7073974609375,4.9525146484375,2.5658475265583793
dom,34827,210331,dom_34827_210331,Series004,1.3.10.1024.1024,1024x1024,10,33.74830722808838,13.635581016540527,7.4202165603637695,4.3760881423950195,1.6956277659212569
dom,34827,210331,dom_34827_210331,Series005,1.3.10.1024.1024,1024x1024,10,40.32567310333252,19.685595512390137,12.587990760803223,5.650152206420898,2.2279029486140365
dom,34827,210331,dom_34827_210331,Series006,1.3.10.1024.1024,1024x1024,10,40.65713119506836,19.092470169067383,12.098837852478027,5.641290664672852,2.1446932221103094
dom,41674,210331,dom_41674_210331,Series001,1.3.10.1024.1024,1024x1024,10,33.66086196899414,19.123570442199707,12.266132354736328,4.981005668640137,2.462581488706698
dom,41674,210331,dom_41674_210331,Series002,1.3.10.1024.1024,1024x1024,10,18.938178062438965,17.855345726013184,10.047053337097168,5.761048316955566,1.743962692957685
dom,41674,210331,dom_41674_210331,Series003,1.3.10.1024.1024,1024x1024,10,30.958498001098633,17.339056968688965,10.394248962402344,4.577206611633301,2.2708717006535406
Hers,61858,210603,Hers_61858_210603,Series001,1.3.10.1024.1024,1024x1024,10,21.257230758666992,32.02723217010498,11.778566360473633,17.129368782043457,0.6876240747890829
Hers,61858,210603,Hers_61858_210603,Series002,1.3.10.1024.1024,1024x1024,10,26.372776985168457,30.86897087097168,13.18664836883545,13.172892570495605,1.0010442504002997
Hers,61858,210603,Hers_61858_210603,Series003,1.3.10.1024.1024,1024x1024,10,22.007966995239258,32.75350856781006,13.237366676330566,16.065954208374023,0.8239390268790185
Hers,61858,210603,Hers_61858_210603,Series004,1.3.10.1024.1024,1024x1024,10,18.47278594970703,29.300562858581543,12.009683609008789,13.594712257385254,0.883408444521111
Hers,61858,210603,Hers_61858_210603,Series005,1.3.10.1024.1024,1024x1024,10,20.866661071777344,22.6517972946167,9.518637657165527,9.563814163208008,0.9952763086702088
HmgD,77429,210603,HmgD_77429_210603,Series001,1.3.10.1024.1024,1024x1024,10,23.83638858795166,36.4886589050293,13.63662052154541,20.162944793701172,0.6763208777819716
HmgD,77429,210603,HmgD_77429_210603,Series002,1.3.10.1024.1024,1024x1024,10,24.13189125061035,28.503202438354492,10.896881103515625,15.765786170959473,0.6911727068573114
