line	date	fp
34585	210304	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210304/34585.lif
33981	210304	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210304/33981.lif
33658	210304	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210304/33658.lif
33707	210304	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210304/33707.lif
33688	210304	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210304/33688.lif
33891	210304	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210304/33891.lif
57742	210317	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210317/57742.lif
67929	210317	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210317/67929_0310.lif
57421	210317	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210317/57421.lif
63658	210317	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210317/63658.lif
67929	210317	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210317/67929_0309.lif
67929	210317	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210317/67929_0308.lif
65062	210317	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210317/65062.lif
55917	210317	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210317/55917/55917.lif
26218	210326	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210326/26218_1-2.lif
34520	210326	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210326/34520_1-2.lif
26218	210326	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210326/26218_2-3/26218_2-3.lif
31266	210326	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210326/31266/31266.lif
32840	210326	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210326/32840/32840_1-2.lif
34665	210512	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210512/34665.lif
34908	210512	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210512/34908.lif
33708	210512	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210512/33708.lif
33009	210512	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210512/33009.lif
31266	210504	/Users/mniederhuber/RNAi_screen/_RNAi_Screen_Imaging/210504_31266_old/31266_old.lif
